source,target
よろしくお願いします,Nice to meet you.
盤上の新兵,Board Recruit
期待の駆け出し,Promising Beginner
新鋭の指し手,Rising Player
不屈の挑戦者,Indomitable Challenger
智略の軍師,Strategic Tactician
千里眼の戦略家,Farsighted Strategist
神速の名手,Lightning Master
明鏡の達人,Clear-Minded Expert
孤高の修羅,Solitary Warrior
百戦の名将,Veteran Commander
天賦の桜傑,Gifted Kio Prodigy
威風の桜帝,Majestic Kio Emperor
神技の桜聖,Divine Kio Saint
至高の棋桜神,Supreme Kio Deity
猫宮 さくら,Nekomiya Sakura
氷室 ユキ,Himuro Yuki
徳永 利蔵,Tokunaga Rizo
黒羽 エレナ,Kurobane Elena
七星 みくり,Nanahoshi Mikuri
西園寺 レイナ,Saionji Reina
ソフィア,Sophia
八雲 龍菜,Yakumo Takina
宵月,Yoizuki
狼谷 シロウ,Kamitani Shiro
金城 豪,Kinjo Go
高瀬 紘一,Takase Koichi
ねこみや さくら,Nekomiya Sakura
柊 優花,Hiiragi Yuka
15歳,15 years old
3月31日,March 31
"将棋カフェ「カフェ 棋桜」で働く、明るく元気な見習い店員。
天真爛漫で人懐っこく、初めてのお客さんにも笑顔で話しかけるお店のムードメーカー。
「楽しく指せばいいよ！」が口癖で、初心者に将棋を教えてくれる。
将棋の腕前はまだ未熟だけど、天真爛漫な笑顔と人懐っこい性格で、お客さんからの人気が高い。
ユキに戦法を教わりながら、日々成長中。","A bright, energetic trainee server at Shogi Cafe Kio.
Cheerful and friendly, she is the cafe's mood-maker, smiling and chatting even with first-time customers.
Her favorite saying is, ""Just have fun playing!"" and she helps beginners learn shogi.
Her own shogi is still developing, but customers love her sunny smile and open personality.
With Yuki teaching her strategies, she is growing day by day."
ひむろ ゆき,Himuro Yuki
東雲 はる,Shinonome Haru
18歳,18 years old
2月24日,February 24
"将棋カフェ「カフェ 棋桜」のチーフスタッフで、猫宮さくらの教育係でもある。
一見クールな印象だが将棋への情熱は誰よりも強く、日々研究を続けている。
仕事中は丁寧で落ち着いている印象だが、プライベートだとおっちょこちょいな一面を見せることも。","The chief staff member at Shogi Cafe Kio and Sakura Nekomiya's mentor.
She may seem cool at first, but no one is more passionate about shogi, and she studies every day.
At work she is polite and composed, though in private she sometimes shows a surprisingly clumsy side."
とくなが としぞう,Tokunaga Rizo
新田 純輝,Nitta Junki
68歳,68 years old
7月15日,July 15
"長年働いた職（和食料理人）を引退し、今は気ままに暮らしているおじいちゃん。
将棋カフェ「カフェ 棋桜」にはほぼ毎日のように顔を出し、対局を眺めたり、気が向けば一局指したりしている。
負けても勝っても楽しそうに笑う。","A grandfatherly regular who retired after many years as a Japanese cuisine chef and now lives at his own pace.
He visits Shogi Cafe Kio almost every day, watching games or playing one himself when the mood strikes.
Win or lose, he laughs like he enjoyed every moment."
くろばね えれな,Kurobane Elena
日比 優理香,Hibi Yurika
27歳,27 years old
12月15日,December 15
"ライバル将棋カフェオーナーにして、将棋界で恐れられるプロ棋士。
美貌と知略を兼ね備え、店の常連には実業家やプロ棋士志望が集まる。
将棋のイベントには頻繁に足を運び、目ぼしい人材がいたらスカウトしている。
根底には将棋を愛する純粋な思いがあり、実力者や努力家には敬意を払う。","Owner of a rival shogi cafe and a professional player feared throughout the shogi world.
Blessed with beauty and intellect, her shop attracts entrepreneurs and aspiring pros.
She often attends shogi events, scouting any promising talent she finds.
At heart she genuinely loves shogi, and she respects both strength and hard work."
ななほし みくり,Nanahoshi Mikuri
日高 里菜,Hidaka Rina
14歳,14 years old
7月7日,July 7
"異常な終盤力を持つ天才少女。
「カフェ棋桜」には、紅茶とスイーツ目当てで、ほぼ毎日現れる。
古めかしい言葉づかいで相手をからかいながら、自由な感性と鋭い直感で盤上を支配する。
勝てばドヤ顔、負ければ少しだけ不機嫌。
でも次の日には何事もなかったかのように現れる。","A genius girl with extraordinary endgame strength.
She appears at Cafe Kio almost every day, mainly for tea and sweets.
With old-fashioned speech and teasing remarks, she controls the board through freewheeling intuition.
When she wins she looks smug; when she loses she gets a little sulky.
By the next day, though, she shows up as if nothing happened."
さいおんじ れいな,Saionji Reina
伊藤 舞音,Ito Maina
16歳,16 years old
5月20日,May 20
"成績優秀で運動神経も抜群、正義感が強いため男女問わず学内で信頼されている。
「カフェ 棋桜」には定期的に訪れ、常連の中でもトップクラスの強さを誇る。
将棋でも人生でも""まっすぐであること""を大切にしている。","An excellent student and gifted athlete whose strong sense of justice earns trust from everyone at school.
She regularly visits Cafe Kio and is one of the strongest among its regulars.
In shogi and in life, she values being straightforward above all else."
そふぃあ,Sophia
清水 理沙,Shimizu Risa
22歳,22 years old
9月25日,September 25
"修道院で暮らすシスター。
""精神修行""の一環として将棋を学び始めたところ、冷静沈着な性格と深い集中力がかみ合い、修道院の中でトップの実力を持つように。
子供が正解手を指した時には、無意識のうちに頭をなでる癖がある。
撫でている時は聖母の微笑みを浮かべているという噂も。","A sister who lives in a monastery.
She began learning shogi as part of her spiritual training, and her calm nature and deep focus made her the strongest player there.
When a child finds the right move, she unconsciously pats them on the head.
Rumor says she wears a saintly smile when she does."
やくも たきな,Yakumo Takina
岬 なこ,Misaki Nako
10月26日,October 26
"名だたる将棋の棋士の孫娘として幼い頃から将棋に触れて育った。
高い棋力を持ちながらも、礼儀を重んじ、「盤を挟めば誰とでも分かり合える」という信念を持つ。
「カフェ 棋桜」には、和菓子と将棋を楽しむ時間を求めてたびたび訪れる。","Granddaughter of a renowned shogi player, she grew up surrounded by the game.
Despite her high skill, she values courtesy and believes anyone can understand each other across the board.
She often visits Cafe Kio to enjoy wagashi and shogi."
よいづき,Yoizuki
